state,state_AB,year,state_year,treat,ban_policy,ban_year,total_suicide,gender,median_income,crime_rate,diversity,median_age,pol_aff,education_rate
Nebraska,NE,2012,NE2012,0,0,0,12.400,0.494,64810,259.4,0.185,36.3,1,0.91
Nevada,NV,2012,NV2012,1,0,2018,19.000,0.502,58770,607.6,0.471,36.8,1,0.85
New Hampshire,NH,2012,NH2012,1,0,2019,15.200,0.49,84210,187.9,0.081,41.9,0,0.92
New Jersey,NJ,2012,NJ2012,1,0,2013,7.600,0.485,82810,290.2,0.419,39.4,1,0.88
New Mexico,NM,2012,NM2012,1,0,2017,21.100,0.493,53920,559.1,0.602,36.8,1,0.84
New York,NY,2012,NY2012,1,0,2019,8.700,0.483,59200,406.8,0.426,38.1,0,0.85
North Carolina,NC,2012,NC2012,0,0,0,13.200,0.482,51600,353.4,0.353,37.8,1,0.85
Ohio,OH,2012,OH2012,0,0,0,13.300,0.486,55100,299.7,0.191,39.3,1,0.89
Oklahoma,OK,2012,OK2012,0,0,0,17.500,0.49,60110,469.3,0.319,36.3,1,0.87
Oregon,OR,2012,OR2012,1,0,2015,18.500,0.495,64290,247.6,0.222,38.9,0,0.9
Pennsylvania,PA,2012,PA2012,0,0,0,12.900,0.487,64450,348.7,0.209,40.5,1,0.89
Rhode Island,RI,2012,RI2012,1,0,2017,10.000,0.483,69610,252.4,0.247,39.8,0,0.86
South Carolina,SC,2012,SC2012,0,0,0,14.200,0.48,55130,558.8,0.357,38.3,1,0.85
South Dakota,SD,2012,SD2012,0,0,0,16.900,0.499,61360,321.8,0.16,36.7,1,0.91
Tennessee,TN,2012,TN2012,0,0,0,15.100,0.484,53390,643.6,0.247,38.2,1,0.85
Texas,TX,2012,TX2012,0,0,0,11.600,0.492,64480,408.6,0.556,33.9,1,0.81
Vermont,VT,2012,VT2012,1,0,2016,13.900,0.496,69010,142.6,0.057,42.4,0,0.92
Washington,WA,2012,WA2012,1,0,2018,15.000,0.495,77220,295.6,0.283,37.5,0,0.9
West Virginia,WV,2012,WV2012,0,0,0,17.600,0.490," 54,080.00 ",316.300,0.067,41.500,0,0.850
Wisconsin,WI,2012,WI2012,0,0,0,12.600,0.494," 71,410.00 ",201.400,0.171,38.800,1,0.920
Wyoming,WY,2012,WY2012,0,0,0,29.700,0.504," 65,910.00 ",280.500,0.152,36.900,1,0.920
Alabama,AL,2013,AL2013,0,0,0,14.900,0.481,58050,430.8,0.334,38.3,1,0.845
Alaska,AK,2013,AK2013,0,0,0,23.100,0.513,88910,640.4,0.375,33.1,1,0.916
Arizona,AZ,2013,AZ2013,0,0,0,17.500,0.492,64540,416.5,0.432,36.8,1,0.859
Arkansas,AR,2013,AR2013,0,0,0,17.400,0.491,48310,460.3,0.262,37.8,0,0.844
California,CA,2013,CA2013,1,1,2013,10.500,0.494,74580,402.1,0.611,35.7,0,0.817
Colorado,CO,2013,CO2013,1,0,2019,19.100,0.498,83310,308,0.306,36.4,0,0.905
Connecticut,CT,2013,CT2013,1,0,2017,9.200,0.486,85010,262.5,0.305,40.5,0,0.897
Delaware,DE,2013,DE2013,1,0,2018,13.200,0.482,66360,491.4,0.357,39.1,0,0.883
Florida,FL,2013,FL2013,0,0,0,14.900,0.485,59540,470.4,0.437,41.5,1,0.868
Georgia,GA,2013,GA2013,0,0,0,12.000,0.483,57650,365.7,0.451,35.9,1,0.855
Hawaii,HI,2013,HI2013,1,0,2018,12.200,0.489,78800,251.6,0.783,38.1,0,0.91
Idaho,ID,2013,ID2013,0,0,0,19.100,0.499,59460,217,0.167,35.7,1,0.894
Illinois,IL,2013,IL2013,1,0,2016,10.200,0.489,66170,380.2,0.372,37.2,0,0.878
Indiana,IN,2013,IN2013,0,0,0,14.400,0.489,60670,357.4,0.193,37.3,1,0.876
Iowa,IA,2013,IA2013,0,0,0,14.500,0.494,73800,271.4,0.124,38,1,0.916
Kansas,KS,2013,KS2013,0,0,0,14.700,0.494,58670,339.9,0.227,36,1,0.901
Kentucky,KY,2013,KY2013,0,0,0,15.900,0.489,55060,209.8,0.14,38.5,0,0.841
Louisiana,LA,2013,LA2013,0,0,0,12.600,0.482,56950,518.5,0.401,36,1,0.831
Maine,ME,2013,ME2013,1,0,2019,18.400,0.488,67420,129.3,0.059,44,1,0.918
Maryland,MD,2013,MD2013,1,0,2018,9.600,0.483,85080,473.8,0.468,38.2,1,0.891
Massachusetts,MA,2013,MA2013,1,0,2019,8.500,0.484,76710,413.4,0.252,39.4,1,0.899
Michigan,MI,2013,MI2013,0,0,0,13.100,0.489,69400,449.9,0.238,39.6,1,0.894
Mississippi,MS,2013,MS2013,0,0,0,13.000,0.48,39670,274.6,0.424,36.6,1,0.824
Missouri,MO,2013,MO2013,0,0,0,15.900,0.487,56800,433.4,0.194,38.1,0,0.887
Montana,MT,2013,MT2013,0,0,0,23.900,0.497,53000,252.9,0.126,39.6,0,0.927
Nebraska,NE,2013,NE2013,0,0,0,11.800,0.494,70690,262.1,0.191,36.3,1,0.902
Nevada,NV,2013,NV2013,1,0,2018,19.400,0.499,63600,603,0.478,37.1,1,0.852
New Hampshire,NH,2013,NH2013,1,0,2019,14.000,0.491,84770,215.3,0.083,42.3,0,0.928
New Jersey,NJ,2013,NJ2013,1,1,2013,8.500,0.486,78210,288.5,0.425,39.4,1,0.885
New Mexico,NM,2013,NM2013,1,0,2017,20.500,0.492,49280,613,0.606,36.9,1,0.843
New York,NY,2013,NY2013,1,0,2019,8.600,0.484,61300,393.7,0.43,38.2,0,0.856
North Carolina,NC,2013,NC2013,0,0,0,13.000,0.482,56850,342.2,0.355,37.9,1,0.857
Ohio,OH,2013,OH2013,0,0,0,13.200,0.487,62260,286.2,0.194,39.3,1,0.89
Oklahoma,OK,2013,OK2013,0,0,0,17.300,0.49,56630,441.2,0.323,36.2,1,0.867
Oregon,OR,2013,OR2013,1,0,2015,17.700,0.493,60110,254,0.225,39.1,0,0.897
Pennsylvania,PA,2013,PA2013,0,0,0,14.000,0.486,67670,335.4,0.214,40.6,0,0.892
Rhode Island,RI,2013,RI2013,1,0,2017,12.600,0.49,69100,257.2,0.254,39.9,0,0.859
South Carolina,SC,2013,SC2013,0,0,0,14.600,0.48,53440,508.5,0.358,38.6,1,0.856
South Dakota,SD,2013,SD2013,0,0,0,17.400,0.502,65530,316.5,0.163,36.6,1,0.916
Tennessee,TN,2013,TN2013,0,0,0,15.800,0.486,53200,590.6,0.249,38.5,1,0.856
Texas,TX,2013,TX2013,0,0,0,11.500,0.492,63070,408.3,0.56,34,1,0.819
Vermont,VT,2013,VT2013,1,0,2016,17.700,0.493,80370,121.1,0.059,42.5,0,0.915
Washington,WA,2013,WA2013,1,0,2018,14.700,0.496,78420,289.1,0.29,37.4,0,0.901
West Virginia,WV,2013,WV2013,0,0,0,17.400,0.491," 52,840.00 ",300.300,0.068,41.700,0,0.846
Wisconsin,WI,2013,WI2013,0,0,0,14.800,0.495," 82,740.00 ",205.100,0.174,39.000,1,0.909
Wyoming,WY,2013,WY2013,0,0,0,22.100,0.504," 63,460.00 ",277.900,0.150,36.600,1,0.935
Alabama,AL,2014,AL2014,0,0,0,14.700,0.482,51140,427.4,0.334,38.6,1,0.85
Alaska,AK,2014,AK2014,0,0,0,22.700,0.517,81800,635.8,0.375,33.3,0,0.93
Arizona,AZ,2014,AZ2014,0,0,0,18.400,0.49,59580,399.9,0.432,36.9,1,0.86
Arkansas,AR,2014,AR2014,0,0,0,17.300,0.487,54340,480.1,0.262,37.8,0,0.85
California,CA,2014,CA2014,1,1,2013,10.800,0.493,73170,396.1,0.611,36,0,0.82
Colorado,CO,2014,CO2014,1,0,2019,20.200,0.498,73710,309.1,0.306,36.3,0,0.91
Connecticut,CT,2014,CT2014,1,0,2017,10.500,0.486,84870,236.9,0.305,40.5,0,0.9
Delaware,DE,2014,DE2014,1,0,2018,13.500,0.482,69580,489.1,0.357,39.6,0,0.89
Florida,FL,2014,FL2014,0,0,0,15.200,0.485,55810,540.5,0.437,41.6,1,0.87
Georgia,GA,2014,GA2014,0,0,0,12.800,0.482,59940,377.3,0.451,36.1,1,0.86
Hawaii,HI,2014,HI2014,1,0,2018,14.400,0.491,86150,259.2,0.783,38.1,0,0.92
Idaho,ID,2014,ID2014,0,0,0,19.600,0.496,64640,212.2,0.167,35.9,1,0.9
Illinois,IL,2014,IL2014,1,0,2016,10.800,0.488,66430,370,0.372,37.5,1,0.88
Indiana,IN,2014,IN2014,0,0,0,14.400,0.49,58130,365.3,0.193,37.4,1,0.88
Iowa,IA,2014,IA2014,0,0,0,13.100,0.497,69930,273.5,0.124,38.2,1,0.92
Kansas,KS,2014,KS2014,0,0,0,15.700,0.491,64650,348.6,0.227,36.2,1,0.9
Kentucky,KY,2014,KY2014,0,0,0,16.500,0.491,51750,211.6,0.14,38.5,0,0.85
Louisiana,LA,2014,LA2014,0,0,0,14.600,0.482,51290,514.7,0.401,36.1,1,0.84
Maine,ME,2014,ME2014,1,0,2019,16.500,0.482,62550,127.8,0.059,44.1,1,0.92
Maryland,MD,2014,MD2014,1,0,2018,10.100,0.482,92130,446.1,0.468,38.3,1,0.9
Massachusetts,MA,2014,MA2014,1,0,2019,8.800,0.485,76390,391.4,0.252,39.4,1,0.9
Michigan,MI,2014,MI2014,0,0,0,13.600,0.489,62910,427.3,0.238,39.6,1,0.9
Mississippi,MS,2014,MS2014,0,0,0,12.700,0.481,42970,278.5,0.424,36.7,1,0.83
Missouri,MO,2014,MO2014,0,0,0,16.800,0.487,68500,442.9,0.194,38.5,0,0.89
Montana,MT,2014,MT2014,0,0,0,24.400,0.496,61810,323.7,0.126,39.6,0,0.93
Nebraska,NE,2014,NE2014,0,0,0,13.300,0.498,68790,280.4,0.191,36.2,1,0.9
Nevada,NV,2014,NV2014,1,0,2018,20.100,0.499,60330,635.6,0.478,37.4,1,0.85
New Hampshire,NH,2014,NH2014,1,0,2019,18.600,0.493,88780,196.1,0.083,42.5,0,0.92
New Jersey,NJ,2014,NJ2014,1,1,2013,8.800,0.487,78920,261.2,0.425,39.4,1,0.89
New Mexico,NM,2014,NM2014,1,0,2017,21.500,0.489,56470,597.4,0.606,37.2,1,0.84
New York,NY,2014,NY2014,1,0,2019,8.600,0.484,65690,381.8,0.43,38.2,0,0.86
North Carolina,NC,2014,NC2014,0,0,0,13.600,0.481,56590,329.5,0.355,38.3,1,0.86
Ohio,OH,2014,OH2014,0,0,0,12.900,0.488,60050,284.9,0.194,39.4,1,0.89
Oklahoma,OK,2014,OK2014,0,0,0,18.900,0.489,57090,406,0.323,36.2,1,0.87
Oregon,OR,2014,OR2014,1,0,2015,19.700,0.492,71220,232.3,0.225,39.3,0,0.9
Pennsylvania,PA,2014,PA2014,0,0,0,14.200,0.487,66740,314.1,0.214,40.7,0,0.89
Rhode Island,RI,2014,RI2014,1,0,2017,10.500,0.484,70920,219.2,0.254,39.8,0,0.86
South Carolina,SC,2014,SC2014,0,0,0,15.600,0.481,54350,497.7,0.358,38.8,1,0.86
South Dakota,SD,2014,SD2014,0,0,0,16.500,0.5,64170,326.5,0.163,36.6,1,0.92
Tennessee,TN,2014,TN2014,0,0,0,15.200,0.484,52880,608.4,0.249,38.6,1,0.86
Texas,TX,2014,TX2014,0,0,0,12.000,0.491,65170,405.9,0.56,34.3,1,0.82
Vermont,VT,2014,VT2014,1,0,2016,19.800,0.487,73430,99.3,0.059,42.8,0,0.92
Washington,WA,2014,WA2014,1,0,2018,15.800,0.497,71450,285.2,0.29,37.5,0,0.9
West Virginia,WV,2014,WV2014,0,0,0,19.400,0.492," 47,840.00 ",302.000,0.068,41.900,0,0.850
Wisconsin,WI,2014,WI2014,0,0,0,13.300,0.494," 67,360.00 ",195.500,0.178,39.200,1,0.914
Wyoming,WY,2014,WY2014,0,0,0,20.500,0.507," 70,250.00 ",290.300,0.150,36.600,1,0.930
Alabama,AL,2015,AL2015,0,0,0,15.400,0.481,53880,472.4,0.338,38.7,1,0.849
Alaska,AK,2015,AK2015,0,0,0,27.200,0.514,90920,730.2,0.385,33.3,0,0.926
Arizona,AZ,2015,AZ2015,0,0,0,18.700,0.49,63250,410.2,0.442,37.4,1,0.861
Arkansas,AR,2015,AR2015,0,0,0,19.400,0.486,51810,521.3,0.269,37.9,1,0.854
California,CA,2015,CA2015,1,1,2013,10.600,0.493,77030,426.3,0.622,36.2,0,0.822
Colorado,CO,2015,CO2015,1,0,2019,20.000,0.498,80610,321,0.314,36.4,0,0.912
Connecticut,CT,2015,CT2015,1,0,2017,10.700,0.487,88230,218.5,0.32,40.6,0,0.902
Delaware,DE,2015,DE2015,1,0,2018,12.900,0.479,69910,499,0.368,39.7,0,0.889
Florida,FL,2015,FL2015,0,0,0,15.800,0.484,59100,461.9,0.448,41.8,1,0.876
Georgia,GA,2015,GA2015,0,0,0,12.900,0.482,61450,378.3,0.46,36.4,1,0.861
Hawaii,HI,2015,HI2015,1,0,2018,14.000,0.49,78090,293.4,0.783,37.7,0,0.909
Idaho,ID,2015,ID2015,0,0,0,21.700,0.497,62490,215.6,0.172,35.8,1,0.9
Illinois,IL,2015,IL2015,1,0,2016,10.600,0.487,73130,383.8,0.381,37.7,1,0.886
Indiana,IN,2015,IN2015,0,0,0,14.500,0.49,62930,387.5,0.199,37.5,1,0.882
Iowa,IA,2015,IA2015,0,0,0,13.800,0.495,73660,286.1,0.131,38.1,1,0.917
Kansas,KS,2015,KS2015,0,0,0,16.400,0.493,66410,389.9,0.235,36.2,1,0.903
Kentucky,KY,2015,KY2015,0,0,0,17.500,0.489,51310,218.7,0.145,38.8,1,0.851
Louisiana,LA,2015,LA2015,0,0,0,15.400,0.483,55590,539.7,0.406,36.4,1,0.846
Maine,ME,2015,ME2015,1,0,2019,17.700,0.489,61440,130.1,0.063,44.6,1,0.917
Maryland,MD,2015,MD2015,1,0,2018,9.200,0.48,89090,457.2,0.481,38.3,1,0.896
Massachusetts,MA,2015,MA2015,1,0,2019,9.400,0.485,82150,390.9,0.269,39.4,1,0.902
Michigan,MI,2015,MI2015,0,0,0,14.200,0.489,65610,415.5,0.243,39.7,1,0.901
Mississippi,MS,2015,MS2015,0,0,0,14.300,0.478,48460,275.8,0.427,37,1,0.835
Missouri,MO,2015,MO2015,0,0,0,17.300,0.488,71660,497.4,0.198,38.4,0,0.889
Montana,MT,2015,MT2015,0,0,0,26.200,0.502,62210,349.6,0.131,39.9,0,0.935
Nebraska,NE,2015,NE2015,0,0,0,11.800,0.496,73200,274.9,0.198,36.1,1,0.91
Nevada,NV,2015,NV2015,1,0,2018,19.300,0.497,62960,695.9,0.494,37.8,1,0.856
New Hampshire,NH,2015,NH2015,1,0,2019,17.100,0.495,91600,199.3,0.087,42.8,0,0.931
New Jersey,NJ,2015,NJ2015,1,1,2013,8.800,0.486,82750,255.4,0.438,39.6,1,0.891
New Mexico,NM,2015,NM2015,1,0,2017,24.000,0.492,54620,656.1,0.617,37.4,1,0.846
New York,NY,2015,NY2015,1,0,2019,8.300,0.484,70210,379.7,0.441,38.3,0,0.86
North Carolina,NC,2015,NC2015,0,0,0,14.000,0.483,61490,347,0.362,38.4,1,0.866
Ohio,OH,2015,OH2015,0,0,0,14.200,0.488,64520,291.9,0.201,39.3,1,0.897
Oklahoma,OK,2015,OK2015,0,0,0,20.200,0.491,56990,422,0.333,36.3,1,0.873
Oregon,OR,2015,OR2015,1,1,2015,18.900,0.492,73640,259.8,0.233,39.1,0,0.9
Pennsylvania,PA,2015,PA2015,0,0,0,14.800,0.486,73100,315.1,0.224,40.7,0,0.897
Rhode Island,RI,2015,RI2015,1,0,2017,11.900,0.484,67430,242.5,0.267,39.7,0,0.877
South Carolina,SC,2015,SC2015,0,0,0,15.100,0.482,56120,504.5,0.36,39,1,0.863
South Dakota,SD,2015,SD2015,0,0,0,20.000,0.501,66660,383.1,0.171,36.9,1,0.911
Tennessee,TN,2015,TN2015,0,0,0,16.200,0.484,57290,612.1,0.255,38.7,1,0.861
Texas,TX,2015,TX2015,0,0,0,12.400,0.491,68360,412.2,0.57,34.4,1,0.824
Vermont,VT,2015,VT2015,1,0,2016,16.500,0.494,72020,118,0.064,43.1,0,0.917
Washington,WA,2015,WA2015,1,0,2018,15.800,0.497,81400,284.4,0.301,37.5,0,0.908
West Virginia,WV,2015,WV2015,0,0,0,18.400,0.490," 51,840.00 ",337.900,0.072,42.200,0,0.860
Wisconsin,WI,2015,WI2015,0,0,0,15.100,0.495," 73,750.00 ",222.100,0.182,39.400,1,0.914
Wyoming,WY,2015,WY2015,0,0,0,26.800,0.495," 67,090.00 ",305.800,0.157,36.500,1,0.922
Alabama,AL,2016,AL2016,0,0,0,16.200,0.481,56660,532.3,0.34,39,1,0.851
Alaska,AK,2016,AK2016,0,0,0,26.000,0.517,90860,804.2,0.386,33.5,0,0.931
Arizona,AZ,2016,AZ2016,0,0,0,18.300,0.492,68510,470.1,0.445,37.5,1,0.867
Arkansas,AR,2016,AR2016,0,0,0,18.500,0.488,55080,550.9,0.27,38,1,0.86
California,CA,2016,CA2016,1,1,2013,10.900,0.494,79960,445.3,0.625,36.4,0,0.824
Colorado,CO,2016,CO2016,1,0,2019,21.100,0.499,84670,342.6,0.313,36.7,0,0.914
Connecticut,CT,2016,CT2016,1,0,2017,11.100,0.486,91100,227.1,0.324,40.9,0,0.905
Delaware,DE,2016,DE2016,1,0,2018,12.500,0.48,69650,508.8,0.37,40.6,0,0.893
Florida,FL,2016,FL2016,0,0,0,15.200,0.485,61400,430.3,0.453,42.1,1,0.874
Georgia,GA,2016,GA2016,0,0,0,13.600,0.481,64230,397.6,0.466,36.5,1,0.864
Hawaii,HI,2016,HI2016,1,0,2018,12.200,0.492,86550,309.2,0.789,38.9,0,0.92
Idaho,ID,2016,ID2016,0,0,0,20.900,0.496,67870,230.3,0.175,36.1,1,0.904
Illinois,IL,2016,IL2016,1,1,2016,11.000,0.488,73650,436.3,0.382,37.9,1,0.888
Indiana,IN,2016,IN2016,0,0,0,15.600,0.49,67310,404.7,0.202,37.6,1,0.884
Iowa,IA,2016,IA2016,0,0,0,14.400,0.495,70900,290.6,0.134,38,1,0.918
Kansas,KS,2016,KS2016,0,0,0,17.700,0.494,68160,380.4,0.235,36.5,1,0.905
Kentucky,KY,2016,KY2016,0,0,0,17.000,0.488,54440,232.3,0.148,38.7,1,0.857
Louisiana,LA,2016,LA2016,0,0,0,14.400,0.483,50630,566.1,0.406,36.5,0,0.844
Maine,ME,2016,ME2016,1,0,2019,16.900,0.486,61020,123.8,0.064,44.5,1,0.923
Maryland,MD,2016,MD2016,1,0,2018,9.700,0.48,88500,472,0.486,38.5,1,0.901
Massachusetts,MA,2016,MA2016,1,0,2019,9.200,0.486,86710,376.9,0.274,39.5,1,0.904
Michigan,MI,2016,MI2016,0,0,0,13.700,0.489,68500,459,0.244,39.7,1,0.904
Mississippi,MS,2016,MS2016,0,0,0,12.800,0.476,49310,280.5,0.428,37.2,1,0.841
Missouri,MO,2016,MO2016,0,0,0,18.600,0.49,66010,519.4,0.202,38.4,0,0.896
Montana,MT,2016,MT2016,0,0,0,25.600,0.502,68480,368.3,0.134,40.1,0,0.928
Nebraska,NE,2016,NE2016,0,0,0,12.900,0.496,71240,291,0.2,36.3,1,0.909
Nevada,NV,2016,NV2016,1,0,2018,22.100,0.498,66510,678.1,0.501,37.9,1,0.86
New Hampshire,NH,2016,NH2016,1,0,2019,18.300,0.499,91500,197.6,0.089,42.7,0,0.928
New Jersey,NJ,2016,NJ2016,1,1,2013,7.700,0.486,82150,245,0.443,39.5,1,0.893
New Mexico,NM,2016,NM2016,1,0,2017,22.600,0.489,58130,702.5,0.621,37.7,1,0.854
New York,NY,2016,NY2016,1,0,2019,8.500,0.484,73720,376.2,0.444,38.4,0,0.863
North Carolina,NC,2016,NC2016,0,0,0,13.500,0.481,64510,372.2,0.364,38.7,1,0.873
Ohio,OH,2016,OH2016,0,0,0,14.700,0.489,64770,300.3,0.204,39.3,1,0.9
Oklahoma,OK,2016,OK2016,0,0,0,20.900,0.491,61120,449.8,0.337,36.4,1,0.878
Oregon,OR,2016,OR2016,1,1,2015,18.800,0.495,70950,264.6,0.237,39.2,0,0.903
Pennsylvania,PA,2016,PA2016,0,0,0,15.400,0.488,73170,316.4,0.227,40.6,0,0.901
Rhode Island,RI,2016,RI2016,1,0,2017,11.900,0.484,73830,238.9,0.272,40.2,0,0.885
South Carolina,SC,2016,SC2016,0,0,0,16.400,0.48,65200,501.8,0.36,39.1,1,0.866
South Dakota,SD,2016,SD2016,0,0,0,18.800,0.502,68930,418.4,0.173,36.8,1,0.912
Tennessee,TN,2016,TN2016,0,0,0,16.700,0.484,61610,632.9,0.256,38.6,1,0.87
Texas,TX,2016,TX2016,0,0,0,12.500,0.492,69770,434.4,0.575,34.5,1,0.829
Vermont,VT,2016,VT2016,1,1,2016,18.700,0.492,73000,158.3,0.065,43.1,0,0.921
Washington,WA,2016,WA2016,1,0,2018,15.600,0.495,84360,302.2,0.305,37.7,0,0.908
West Virginia,WV,2016,WV2016,0,0,0,19.700,0.492," 53,220.00 ",358.100,0.076,42.300,0,0.860
Wisconsin,WI,2016,WI2016,0,0,0,15.000,0.494," 69,390.00 ",244.200,0.182,39.400,1,0.919
Wyoming,WY,2016,WY2016,0,0,0,24.600,0.505," 71,770.00 ",305.900,0.153,37.200,1,0.932
Alabama,AL,2017,AL2017,0,0,0,17.100,0.482,59980,524.2,0.342,38.9,1,0.865
Alaska,AK,2017,AK2017,0,0,0,27.000,0.513,91960,829,0.39,34.5,0,0.917
Arizona,AZ,2017,AZ2017,0,0,0,18.900,0.492,70390,508,0.45,37.7,1,0.872
Arkansas,AR,2017,AR2017,0,0,0,21.000,0.489,58660,554.9,0.275,38.1,1,0.867
California,CA,2017,CA2017,1,1,2013,10.900,0.494,82580,449.3,0.63,36.5,0,0.833
Colorado,CO,2017,CO2017,1,0,2019,21.000,0.499,88420,368.1,0.317,36.8,0,0.916
Connecticut,CT,2017,CT2017,1,1,2017,11.300,0.486,87620,228,0.333,40.9,0,0.904
Delaware,DE,2017,DE2017,1,0,2018,11.600,0.481,76600,453.4,0.374,40.1,0,0.906
Florida,FL,2017,FL2017,0,0,0,15.300,0.485,62600,408,0.461,42,1,0.884
Georgia,GA,2017,GA2017,0,0,0,13.900,0.481,68370,357.2,0.471,36.8,1,0.87
Hawaii,HI,2017,HI2017,1,0,2018,15.900,0.488,86780,250.6,0.793,39.2,0,0.923
Idaho,ID,2017,ID2017,0,0,0,22.800,0.501,70160,226.4,0.179,36.3,1,0.908
Illinois,IL,2017,IL2017,1,1,2016,11.500,0.489,77790,438.8,0.387,38,1,0.891
Indiana,IN,2017,IN2017,0,0,0,16.400,0.49,69290,399,0.206,37.7,1,0.886
Iowa,IA,2017,IA2017,0,0,0,15.200,0.493,74840,293.4,0.141,38.3,1,0.921
Kansas,KS,2017,KS2017,0,0,0,18.900,0.495,67090,413,0.239,36.7,1,0.91
Kentucky,KY,2017,KY2017,0,0,0,17.200,0.491,58570,225.8,0.151,38.9,1,0.863
Louisiana,LA,2017,LA2017,0,0,0,15.400,0.482,51370,557,0.412,36.8,0,0.851
Maine,ME,2017,ME2017,1,0,2019,20.500,0.489,62870,121,0.063,44.6,1,0.923
Maryland,MD,2017,MD2017,1,0,2018,10.400,0.482,96800,500.2,0.493,38.7,1,0.899
Massachusetts,MA,2017,MA2017,1,0,2019,9.900,0.486,89900,358,0.283,39.5,1,0.908
Michigan,MI,2017,MI2017,0,0,0,14.600,0.49,66510,450,0.247,39.8,1,0.909
Mississippi,MS,2017,MS2017,0,0,0,14.800,0.48,51030,285.7,0.431,37.5,1,0.844
Missouri,MO,2017,MO2017,0,0,0,18.800,0.488,66660,530.3,0.203,38.5,1,0.897
Montana,MT,2017,MT2017,0,0,0,29.600,0.496,67690,377.1,0.135,40,0,0.93
Nebraska,NE,2017,NE2017,0,0,0,14.300,0.498,70260,305.9,0.208,36.5,1,0.913
Nevada,NV,2017,NV2017,1,0,2018,20.900,0.497,68440,555.9,0.511,38,1,0.868
New Hampshire,NH,2017,NH2017,1,0,2019,19.700,0.496,89180,198.7,0.094,43.2,1,0.931
New Jersey,NJ,2017,NJ2017,1,1,2013,8.800,0.486,84000,228.8,0.45,39.8,1,0.899
New Mexico,NM,2017,NM2017,1,1,2017,23.500,0.493,53770,783.5,0.627,37.7,1,0.861
New York,NY,2017,NY2017,1,0,2019,8.500,0.484,72570,356.7,0.448,38.7,0,0.866
North Carolina,NC,2017,NC2017,0,0,0,14.800,0.482,58420,363.7,0.369,38.8,0,0.878
Ohio,OH,2017,OH2017,0,0,0,14.900,0.487,71560,297.5,0.208,39.3,1,0.903
Oklahoma,OK,2017,OK2017,0,0,0,19.200,0.489,61180,456.2,0.341,36.6,1,0.881
Oregon,OR,2017,OR2017,1,1,2015,19.900,0.494,73690,281.8,0.242,39.3,0,0.91
Pennsylvania,PA,2017,PA2017,0,0,0,15.800,0.488,72260,313.3,0.233,40.8,0,0.906
Rhode Island,RI,2017,RI2017,1,1,2017,12.200,0.485,77120,232.2,0.278,39.5,0,0.883
South Carolina,SC,2017,SC2017,0,0,0,16.700,0.48,64310,506.2,0.36,39.4,1,0.874
South Dakota,SD,2017,SD2017,0,0,0,22.000,0.502,67110,433.6,0.175,36.9,1,0.917
Tennessee,TN,2017,TN2017,0,0,0,17.300,0.484,65210,651.5,0.259,38.6,1,0.878
Texas,TX,2017,TX2017,0,0,0,13.300,0.492,70860,438.9,0.581,34.7,1,0.836
Vermont,VT,2017,VT2017,1,1,2016,17.800,0.493,75090,165.8,0.069,42.6,1,0.926
Washington,WA,2017,WA2017,1,0,2018,17.500,0.496,84360,304.5,0.313,37.7,0,0.913
West Virginia,WV,2017,WV2017,0,0,0,21.600,0.490," 55,370.00 ",350.700,0.074,42.400,1,0.871
Wisconsin,WI,2017,WI2017,0,0,0,16.000,0.495," 70,200.00 ",237.500,0.187,39.500,1,0.924
Wyoming,WY,2017,WY2017,0,0,0,27.100,0.509," 74,850.00 ",319.900,0.158,37.500,1,0.929
Alabama,AL,2018,AL2018,0,0,0,16.800,0.481,57720,519.6,0.344,39.3,1,0.866
Alaska,AK,2018,AK2018,0,0,0,25.000,0.503,79450,885,0.399,34.9,0,0.933
Arizona,AZ,2018,AZ2018,0,0,0,20.000,0.492,71990,474.9,0.455,38,1,0.875
Arkansas,AR,2018,AR2018,0,0,0,18.400,0.486,57540,543.6,0.278,38.1,1,0.872
California,CA,2018,CA2018,1,1,2013,11.300,0.494,81480,447.4,0.633,36.7,0,0.838
Colorado,CO,2018,CO2018,1,0,2019,22.500,0.498,84420,397.2,0.32,36.9,0,0.919
Connecticut,CT,2018,CT2018,1,1,2017,11.700,0.485,84160,207.4,0.337,41.1,0,0.909
Delaware,DE,2018,DE2018,1,1,2018,11.700,0.479,75140,423.6,0.379,41.1,0,0.898
Florida,FL,2018,FL2018,0,0,0,16.700,0.484,63160,384.9,0.467,42.2,1,0.885
Georgia,GA,2018,GA2018,0,0,0,14.900,0.481,64520,326.6,0.475,36.8,1,0.876
Hawaii,HI,2018,HI2018,1,1,2018,12.400,0.49,92590,248.6,0.794,39.3,0,0.92
Idaho,ID,2018,ID2018,0,0,0,23.800,0.499,67880,227.1,0.181,36.8,1,0.909
Illinois,IL,2018,IL2018,1,1,2016,11.700,0.49,81080,404.1,0.39,38.3,1,0.895
Indiana,IN,2018,IN2018,0,0,0,16.100,0.489,69230,382.3,0.21,37.8,1,0.89
Iowa,IA,2018,IA2018,0,0,0,15.500,0.496,79430,250.1,0.145,38.1,1,0.923
Kansas,KS,2018,KS2018,0,0,0,19.100,0.495,73900,439,0.24,37.1,1,0.91
Kentucky,KY,2018,KY2018,0,0,0,17.900,0.487,63060,211.9,0.152,39.1,1,0.868
