state,state_AB,year,state_year,treat,ban_policy,ban_year,total_suicide,gender,median_income,crime_rate,diversity,median_age,pol_aff,education_rate
Arizona,AZ,2007,AZ2007,0,0,0,16.500,,,,,,,
Arkansas,AR,2007,AR2007,0,0,0,14.100,,,,,,,
California,CA,2007,CA2007,1,0,2013,9.900,,,,,,,
Colorado,CO,2007,CO2007,1,0,2019,16.900,,,,,,,
Connecticut,CT,2007,CT2007,1,0,2017,7.700,,,,,,,
Delaware,DE,2007,DE2007,1,0,2018,10.900,,,,,,,
Florida,FL,2007,FL2007,0,0,0,14.100,,,,,,,
Georgia,GA,2007,GA2007,0,0,0,10.700,,,,,,,
Hawaii,HI,2007,HI2007,1,0,2018,10.100,,,,,,,
Idaho,ID,2007,ID2007,0,0,0,14.800,,,,,,,
Illinois,IL,2007,IL2007,1,0,2016,8.700,,,,,,,
Indiana,IN,2007,IN2007,0,0,0,12.400,,,,,,,
Iowa,IA,2007,IA2007,0,0,0,10.700,,,,,,,
Kansas,KS,2007,KS2007,0,0,0,13.700,,,,,,,
Kentucky,KY,2007,KY2007,0,0,0,15.200,,,,,,,
Louisiana,LA,2007,LA2007,0,0,0,11.900,,,,,,,
Maine,ME,2007,ME2007,1,0,2019,14.300,,,,,,,
Maryland,MD,2007,MD2007,1,0,2018,9.100,,,,,,,
Massachusetts,MA,2007,MA2007,1,0,2019,8.000,,,,,,,
Michigan,MI,2007,MI2007,0,0,0,11.300,,,,,,,
Mississippi,MS,2007,MS2007,0,0,0,13.500,,,,,,,
Missouri,MO,2007,MO2007,0,0,0,13.700,,,,,,,
Montana,MT,2007,MT2007,0,0,0,20.300,,,,,,,
Nebraska,NE,2007,NE2007,0,0,0,10.100,,,,,,,
Nevada,NV,2007,NV2007,1,0,2018,18.100,,,,,,,
New Hampshire,NH,2007,NH2007,1,0,2019,12.000,,,,,,,
New Jersey,NJ,2007,NJ2007,1,0,2013,6.800,,,,,,,
New Mexico,NM,2007,NM2007,1,0,2017,20.200,,,,,,,
New York,NY,2007,NY2007,1,0,2019,7.300,,,,,,,
North Carolina,NC,2007,NC2007,0,0,0,11.800,,,,,,,
Ohio,OH,2007,OH2007,0,0,0,11.200,,,,,,,
Oklahoma,OK,2007,OK2007,0,0,0,14.600,,,,,,,
Oregon,OR,2007,OR2007,1,0,2015,15.800,,,,,,,
Pennsylvania,PA,2007,PA2007,0,0,0,11.400,,,,,,,
Rhode Island,RI,2007,RI2007,1,0,2017,9.100,,,,,,,
South Carolina,SC,2007,SC2007,0,0,0,11.900,,,,,,,
South Dakota,SD,2007,SD2007,0,0,0,12.600,,,,,,,
Tennessee,TN,2007,TN2007,0,0,0,13.600,,,,,,,
Texas,TX,2007,TX2007,0,0,0,10.200,,,,,,,
Vermont,VT,2007,VT2007,1,0,2016,14.300,,,,,,,
Washington,WA,2007,WA2007,1,0,2018,13.300,,,,,,,
West Virginia,WV,2007,WV2007,0,0,0,16.400,,,,,,,
Wyoming,WY,2007,WY2007,0,0,0,18.900,,,,,,,
Alabama,AL,2008,AL2008,0,0,0,12.800,,,,,,,
Alaska,AK,2008,AK2008,0,0,0,24.600,,,,,,,
Arizona,AZ,2008,AZ2008,0,0,0,15.500,,,,,,,
Arkansas,AR,2008,AR2008,0,0,0,15.500,,,,,,,
California,CA,2008,CA2008,1,0,2013,10.300,,,,,,,
Colorado,CO,2008,CO2008,1,0,2019,16.400,,,,,,,
Connecticut,CT,2008,CT2008,1,0,2017,8.900,,,,,,,
Delaware,DE,2008,DE2008,1,0,2018,12.300,,,,,,,
Florida,FL,2008,FL2008,0,0,0,14.800,,,,,,,
Georgia,GA,2008,GA2008,0,0,0,10.300,,,,,,,
Hawaii,HI,2008,HI2008,1,0,2018,10.000,,,,,,,
Idaho,ID,2008,ID2008,0,0,0,16.400,,,,,,,
Illinois,IL,2008,IL2008,1,0,2016,9.400,,,,,,,
Indiana,IN,2008,IN2008,0,0,0,12.600,,,,,,,
Iowa,IA,2008,IA2008,0,0,0,12.600,,,,,,,
Kansas,KS,2008,KS2008,0,0,0,12.000,,,,,,,
Kentucky,KY,2008,KY2008,0,0,0,14.200,,,,,,,
Louisiana,LA,2008,LA2008,0,0,0,12.000,,,,,,,
Maine,ME,2008,ME2008,1,0,2019,13.600,,,,,,,
Maryland,MD,2008,MD2008,1,0,2018,8.800,,,,,,,
Massachusetts,MA,2008,MA2008,1,0,2019,7.900,,,,,,,
Michigan,MI,2008,MI2008,0,0,0,11.900,,,,,,,
Mississippi,MS,2008,MS2008,0,0,0,13.900,,,,,,,
Missouri,MO,2008,MO2008,0,0,0,13.100,,,,,,,
Montana,MT,2008,MT2008,0,0,0,20.800,,,,,,,
Nebraska,NE,2008,NE2008,0,0,0,10.600,,,,,,,
Nevada,NV,2008,NV2008,1,0,2018,19.800,,,,,,,
New Hampshire,NH,2008,NH2008,1,0,2019,13.600,,,,,,,
New Jersey,NJ,2008,NJ2008,1,0,2013,7.000,,,,,,,
New Mexico,NM,2008,NM2008,1,0,2017,20.700,,,,,,,
New York,NY,2008,NY2008,1,0,2019,7.300,,,,,,,
North Carolina,NC,2008,NC2008,0,0,0,12.500,,,,,,,
Ohio,OH,2008,OH2008,0,0,0,12.200,,,,,,,
Oklahoma,OK,2008,OK2008,0,0,0,15.600,,,,,,,
Oregon,OR,2008,OR2008,1,0,2015,15.200,,,,,,,
Pennsylvania,PA,2008,PA2008,0,0,0,12.200,,,,,,,
Rhode Island,RI,2008,RI2008,1,0,2017,10.400,,,,,,,
South Carolina,SC,2008,SC2008,0,0,0,12.500,,,,,,,
South Dakota,SD,2008,SD2008,0,0,0,15.400,,,,,,,
Tennessee,TN,2008,TN2008,0,0,0,15.600,,,,,,,
Texas,TX,2008,TX2008,0,0,0,10.500,,,,,,,
